等级,工程编码,主材类型,说明
E,17SD018303003,天线,"基础表中为38,SAP中为35"
E,17SD018305001,天线,"基础表中为36,SAP中为39"
E,17SD018311001,天线和RRU,SAP中未查到工程编码对应信息
